C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
IC1:1
J10_ADC1:1
J11_ADC3:1
J12:1
J13:1
J1_BARREL:1
J2_JTAG:1
J3_DAC:1
J8_SDCARD:1
J9_ADC2:1
R1:1
R2:1
REF**:4
SW1:1
TP13:1
TP14:1
TP19:1
TP20:1
TP21:1
TP22:1
TP23:1
U101_LP_STANDALONE:1
U29:1
U30_BACKUP:1
U31_ESP32:1
Y1:1
